lat,lng,nearest_city_cityname,nearest_city_countrycode,Temp,Humidity,Cloudiness,WindSpeed,DT
-10,-44,bom jesus,br,83.33,63,92,5.17,1511048734
42,-120,susanville,us,44.6,48,1,3.36,1511048100
-14,-74,tambo,pe,43.46,70,12,2.37,1511048736
50,58,khromtau,kz,27.17,89,88,8.75,1511048736
62,158,evensk,ru,15.51,100,0,4.38,1511048737
4,38,mega,et,52.46,62,0,6.29,1511048738
24,-104,vicente guerrero,mx,63.53,18,0,7.4,1511048738
34,136,kumano,jp,,,,,
46,-80,sturgeon falls,ca,,,,,
46,-88,marquette,us,34.07,86,90,18.34,1511045760
12,82,mamallapuram,in,80.6,94,20,3.71,1511047800
16,64,porbandar,in,69.38,78,0,15.9,1511048740
56,76,ust-tarka,ru,21.59,90,68,9.98,1511048740
-12,-76,chicla,pe,,,,,
12,18,bitkine,td,68.79,40,0,6.51,1511048741
36,2,medea,dz,48.2,93,20,2.24,1511046000
58,94,kazachinskoye,ru,23.39,86,68,6.96,1511048742
-8,116,mataram,id,77,94,40,2.15,1511047800
64,24,ylivieska,fi,19.29,76,56,2.48,1511048743
36,122,wencheng,cn,37.47,54,92,3.38,1511048743
10,42,dire dawa,et,41.75,81,0,2.15,1511048744
64,70,nadym,ru,8.72,80,80,5.06,1511048745
-8,148,popondetta,pg,76.31,88,36,0.92,1511048745
22,112,tangping,cn,61.28,80,88,9.42,1511048746
8,44,hargeysa,so,54.98,98,64,5.17,1511048746
-32,26,cradock,za,38.01,85,0,3.15,1511048747
-18,146,innisfail,au,78.24,69,44,3.04,1511048747
16,-64,middle island,kn,,,,,
56,78,severnoye,ru,27.35,93,88,8.41,1511048748
10,132,meyungs,pw,,,,,
8,128,kinablangan,ph,78.29,100,76,5.61,1511048749
42,62,gazojak,tm,27.44,100,0,12.21,1511048750
14,36,doka,sd,71.9,41,0,7.07,1511048750
-36,-72,parral,cl,64.43,51,0,13,1511048751
64,78,tarko-sale,ru,1.25,82,76,6.4,1511048751
10,-8,odienne,ci,68,94,12,2.71,1511046000
-58,-112,castro,cl,48.95,92,12,8.75,1511048752
56,100,chunskiy,ru,15.65,82,44,4.27,1511048752
56,32,zapadnaya dvina,ru,29.87,91,64,7.74,1511048753
14,-22,vila do maio,cv,77,73,40,11.41,1511046000
46,34,voyinka,ua,38.42,91,36,2.93,1511048754
2,14,sembe,cg,68.93,100,92,1.7,1511048755
-18,36,quelimane,mz,77,88,75,5.82,1511046000
-4,34,igurubi,tz,71.76,54,0,10.42,1511048757
16,-26,mindelo,cv,75.27,100,0,10.65,1511048758
60,174,anadyr,ru,24.8,92,90,40.26,1511046000
64,44,karpogory,ru,31.71,83,20,6.96,1511048758
34,-114,lake havasu city,us,69.1,12,1,13.87,1511048100
6,18,bouca,cf,70.32,94,24,6.96,1511048759
44,-110,jackson,us,77.61,88,40,26.4,1511046900
-16,-64,ascension,bo,72.35,99,92,3.04,1511048760
54,22,gizycko,pl,35.45,100,88,17.36,1511048761
40,72,stantsiya gorchakovo,uz,,,,,
54,-104,nipawin,ca,6.8,77,1,12.75,1511046000
32,118,chaohu,cn,37.4,86,80,2.24,1511046000
32,70,tank,pk,40.22,76,0,3.15,1511048763
48,-64,grande-riviere,ca,,,,,
-24,20,aranos,na,58.58,17,0,10.09,1511048605
64,-120,hay river,ca,1.4,84,75,10.29,1511046000
44,-90,wisconsin rapids,us,35.08,69,90,13.87,1511046900
58,156,tigil,ru,25.46,80,80,11.21,1511048764
46,-74,sainte-adele,ca,30.36,68,90,6.93,1511046000
-2,102,sungaipenuh,id,66.5,97,76,1.25,1511048765
-10,-70,manoel urbano,br,79.91,85,0,2.37,1511048766
36,38,manbij,sy,59,41,75,11.41,1511047200
-24,60,mahebourg,mu,75.2,88,40,4.7,1511046000
54,50,novaya malykla,ru,34.32,97,88,9.42,1511048768
46,88,altay,cn,-9.96,57,8,2.59,1511048768
50,-98,carman,ca,15.8,61,1,16.11,1511046900
40,122,xiongyue,cn,13.49,53,0,5.06,1511048769
50,72,shakhtinsk,kz,,,,,
-22,24,tsienyane,bw,,,,,
18,70,diu,in,65.46,57,0,9.75,1511048770
-18,-70,tacna,pe,62.6,72,0,8.05,1511046000
46,78,ushtobe,kz,,,,,
